University,College, Undergraduate/Graduate,Region,Website,,,,,,,,,,,,,,,,,,,,,
Konkuk University ,College of Humanities And Social Sciences, undergraduate/graduate,"Chungju-si, Chungcheongbuk-do ",http://lis.kku.ac.kr/main.do,,,,,,,,,,,,,,,,,,,,,
Kyonggi University,College of Human-centered Convergence, undergraduate/graduate,"Suwon-si, Gyeonggi-do",http://www.kyonggi.ac.kr/KyonggiTpSrv.kgu?cxt=klis,,,,,,,,,,,,,,,,,,,,,
Kyungpook National University,College of Social Sciences, undergraduate/graduate,"Bukgu, Daegu",http://lis.knu.ac.kr/HOME/lis/index.htm,,,,,,,,,,,,,,,,,,,,,
Kyungsung University,College of Liberal Arts, undergraduate/graduate,"Nam-gu, Busan",https://cms2.ks.ac.kr/lnis/main.do,,,,,,,,,,,,,,,,,,,,,
Kyungil University,College of Social Sciences(20년과정에 문헌정보학과 없음), undergraduate,"GYEONGSAN-SI, GYEONGBUK",http://ist.kiu.ac.kr/,,,,,,,,,,,,,,,,,,,,,
Keimyung University,College of Social Science, undergraduate/graduate,"Dalseo-Gu, Daegu ",http://lis.kmu.ac.kr/lis/index.do,,,,,,,,,,,,,,,,,,,,,
Kongju National University,College of Education, undergraduate/graduate,"Gongju-si, Chungcheongnam-do ",http://lise.kongju.ac.kr/,,,,,,,,,,,,,,,,,,,,,
Gwangju University,College of Humanities and Social Sciences, undergraduate/graduate,"NAM-GU, GWANGJU",http://dlis.gwangju.ac.kr/,,,,,,,,,,,,,,,,,,,,,
Korea Nazarene University,-, undergraduate,"Cheonan-city, Choongcheongnam-do",,,,,,,,,,,,,,,,,,,,,,
Daegu Catholic University,College of Social Sciences, undergraduate/graduate,"Gyeongsan-si, Gyeongbuk",https://cafe.naver.com/dculibrary#,,,,,,,,,,,,,,,,,,,,,
Daegu University,College of Social Sciences, undergraduate/graduate,"Gyeongsan-si, Gyeongsangbuk-do",https://lis.daegu.ac.kr/hakgwa_home/lis/index.php,,,,,,,,,,,,,,,,,,,,,
Daejin University,College of Public Service, undergraduate,"POCHEON-SI, GYEONGGI-DO",http://lis.daejin.ac.kr/,,,,,,,,,,,,,,,,,,,,,
Duksung Women's University,College of Social Sciences, undergraduate,"Dobong Gu, Seoul",http://academy.duksung.ac.kr/lis/,,,,,,,,,,,,,,,,,,,,,
Dongduk Women's University,College of Social Sciences, undergraduate/graduate,"Seongbuk-gu, SEOUL",http://libinfo.dongduk.ac.kr/,,,,,,,,,,,,,,,,,,,,,
Dong-Eui University,College of Humanities & Social Sciences, undergraduate/graduate,"Busanjin-gu, Busan ",http://lis.deu.ac.kr/,,,,,,,,,,,,,,,,,,,,,
Myongji University,College of Humanities , undergraduate/graduate,"Seodaemun-gu, Seoul",http://jw4.mju.ac.kr/user/lis/index.action,,,,,,,,,,,,,,,,,,,,,
