학술연구분야분류표 (2016.2월 현재),,,,,,
분야코드,구분,대분류명,중분류명,소분류명,세분류명,분류명 (영문)
A000000,A,인문학,,,,Humanities
A010000,A,인문학,사전학,,,Lexicography
A020000,A,인문학,역사학,,,History
A020100,A,인문학,역사학,역사일반,,History in general
A020101,A,인문학,역사학,역사일반,역사이론,Historical Theory
A020102,A,인문학,역사학,역사일반,사상사(역사학),History of Ideas
A020103,A,인문학,역사학,역사일반,정치사(역사학),Political History
A020104,A,인문학,역사학,역사일반,경제사(역사학),Economic History
A020105,A,인문학,역사학,역사일반,사회사(역사학),Social History
A020106,A,인문학,역사학,역사일반,문화사(역사학),Cultural History
A020107,A,인문학,역사학,역사일반,국제관계사(역사학),History of International Relations
A020108,A,인문학,역사학,역사일반,군사사(역사학),Military History
A020109,A,인문학,역사학,역사일반,여성사(역사학),Women's History
A020110,A,인문학,역사학,역사일반,비교사(역사학),Comparative History
A020111,A,인문학,역사학,역사일반,구조사(역사학),History of Social Structure
A020112,A,인문학,역사학,역사일반,역사교육,History Education
A020199,A,인문학,역사학,역사일반,기타역사일반,Other History in general
A020200,A,인문학,역사학,한국사,,Korean History
A020201,A,인문학,역사학,한국사,한국고대사,Ancient Korean History
A020202,A,인문학,역사학,한국사,고려시대사,History of Goryeo Dynasty
A020203,A,인문학,역사학,한국사,조선전기사,History of Early Joseon Dynasty
A020204,A,인문학,역사학,한국사,조선후기사,History of Late Joseon Dynasty
A020205,A,인문학,역사학,한국사,한국근대사,Modern Korean History
A020206,A,인문학,역사학,한국사,한국현대사,Contemporary Korean History
A020299,A,인문학,역사학,한국사,기타한국사,Other Korean History
A020300,A,인문학,역사학,동양사,,Asian History
A020301,A,인문학,역사학,동양사,중국고대사,Ancient Chinese History
A020302,A,인문학,역사학,동양사,중국중세사1(위진수당),Medieval Chinese History 1(Wei/Chin/Sui/T'ang)
A020303,A,인문학,역사학,동양사,중국중세사2(송요금원),Medieval Chinese History 2(Song/Liao/Jin/Yuan)
A020304,A,인문학,역사학,동양사,중국근세사(명청),Early Modern Chinese History(Ming/Qing)
A020305,A,인문학,역사학,동양사,중국근대사,Modern Chinese History
A020306,A,인문학,역사학,동양사,중국현대사,Contemporary Chinese History
A020307,A,인문학,역사학,동양사,대만사,Taiwanese History 
A020308,A,인문학,역사학,동양사,티벳트사,Tibetan History
A020309,A,인문학,역사학,동양사,일본고대사,Acient Japanese History
A020310,A,인문학,역사학,동양사,일본중세사,Medieval Japanese History
A020311,A,인문학,역사학,동양사,일본근세사,Early Modern Japanese History
A020312,A,인문학,역사학,동양사,일본근대사,Modern Japanese history
A020313,A,인문학,역사학,동양사,일본현대사,Contemporary Japanese History
A020314,A,인문학,역사학,동양사,동남아사,Southeast Asian History
A020315,A,인문학,역사학,동양사,서남아사,Southwest Asian History
A020316,A,인문학,역사학,동양사,중동사,Middle East History
A020317,A,인문학,역사학,동양사,중앙아시아사,Central Asian History
A020318,A,인문학,역사학,동양사,인도사,History of India
A020399,A,인문학,역사학,동양사,기타동양사,Other Asian History
A020400,A,인문학,역사학,서양사,,Western History
A020401,A,인문학,역사학,서양사,서양고대사,Ancient Western History
A020402,A,인문학,역사학,서양사,서양중세사,Medieval Western History
A020403,A,인문학,역사학,서양사,서양근대사,Modern Western History
A020404,A,인문학,역사학,서양사,서양현대사,Contemporary Western History
A020405,A,인문학,역사학,서양사,미국사,American History
A020406,A,인문학,역사학,서양사,영국사,British History
A020407,A,인문학,역사학,서양사,프랑스사,French History
A020408,A,인문학,역사학,서양사,독일사,German History
A020409,A,인문학,역사학,서양사,이탈리아사,Italian History
A020410,A,인문학,역사학,서양사,스페인사,Spanish History
A020411,A,인문학,역사학,서양사,러시아사,Russian History
A020412,A,인문학,역사학,서양사,중남미사,Latin American History
A020413,A,인문학,역사학,서양사,동유럽사,History of Eastern Europe
A020414,A,인문학,역사학,서양사,남유럽사,History of Southern Europe
A020415,A,인문학,역사학,서양사,북유럽사,History of Northern Europe
A020416,A,인문학,역사학,서양사,서양사학사,History of Western Historiography 
A020417,A,인문학,역사학,서양사,서양사상사,History of Western thoughts
A020499,A,인문학,역사학,서양사,기타서양사,Other Western History
A020500,A,인문학,역사학,인류학,,Anthropology
A020501,A,인문학,역사학,인류학,체질인류학(인류학),Physical Anthropology
A020502,A,인문학,역사학,인류학,문화인류학,Cultural Anthropology
A020503,A,인문학,역사학,인류학,언어인류학,Linguistic Anthropology
A020504,A,인문학,역사학,인류학,민속학(인류학),Folkloristics
A020599,A,인문학,역사학,인류학,기타인류학,Other Anthropology
A020600,A,인문학,역사학,고고학,,Archeology
A020601,A,인문학,역사학,고고학,고고학이론,Theory in Archeology
A020602,A,인문학,역사학,고고학,한국선사고고학,Korean Prehistoric Archeology
A020603,A,인문학,역사학,고고학,한국원사고고학,Korean Primitive Ages Archeology
A020604,A,인문학,역사학,고고학,한국고대고고학,Korean Ancient Archeology 
A020605,A,인문학,역사학,고고학,한국중세고고학,Korean Medieval Archeology
A020606,A,인문학,역사학,고고학,한국근세고고학,Korean Modern Archeology 
A020607,A,인문학,역사학,고고학,동양고고학,Asian Archeology
A020608,A,인문학,역사학,고고학,서양고고학,Western Archeology
A020609,A,인문학,역사학,고고학,문화재학,Cultural Heritage 
A020610,A,인문학,역사학,고고학,박물관학,Museology
A020699,A,인문학,역사학,고고학,기타고고학,Other Archeology
A029900,A,인문학,역사학,기타역사학,,Other History
A030000,A,인문학,철학,,,Philosophy
A030100,A,인문학,철학,철학일반,,Philosophy in general
A030101,A,인문학,철학,철학일반,형이상학,Metaphysics
A030102,A,인문학,철학,철학일반,인식론,Epistemology
A030103,A,인문학,철학,철학일반,윤리학,Ethics
A030104,A,인문학,철학,철학일반,정치/사회철학,Political and Social Philosophy
A030105,A,인문학,철학,철학일반,논리학/논리철학,Logic/Logic in philosophy
A030106,A,인문학,철학,철학일반,언어철학,Philosophy of Language
A030107,A,인문학,철학,철학일반,역사철학,Philosophy of History
A030108,A,인문학,철학,철학일반,과학/자연철학,Philosophy of Science / Philosophy of Nature
A030109,A,인문학,철학,철학일반,문화/기술철학,Philosophy of Culture / Technology
A030110,A,인문학,철학,철학일반,종교철학,Philosophy of Religion
A030111,A,인문학,철학,철학일반,동서비교철학,Comparative Philosophy(Eastern and Western)
A030112,A,인문학,철학,철학일반,여성철학,Feminist Philosophy
A030113,A,인문학,철학,철학일반,철학적방법론,Methodology in philosophy
A030114,A,인문학,철학,철학일반,철학사,History of Philosophy
A030199,A,인문학,철학,철학일반,기타철학일반,Other Philosophy in general 
A030200,A,인문학,철학,한국철학,,Korean Philosophy
A030201,A,인문학,철학,한국철학,한국철학일반,Korean Philosophy in general 
A030202,A,인문학,철학,한국철학,한국전통철학,Korean Traditional Philosophy
A030203,A,인문학,철학,한국철학,한국불교철학,Korean Buddhist Philosophy
A030204,A,인문학,철학,한국철학,한국유가철학,Korean Confucian Philosophy
A030205,A,인문학,철학,한국철학,한국도가철학,Korean Taoist Philosophy
A030206,A,인문학,철학,한국철학,한국근대철학,Modern Korean philosophy
A030207,A,인문학,철학,한국철학,한국현대철학,Contemporary Korean philosophy
A030299,A,인문학,철학,한국철학,기타한국철학,Other Korean Philosophy
A030300,A,인문학,철학,동양철학,,Eastern Philosophy
A030301,A,인문학,철학,동양철학,동양철학일반,Eastern Philosophy in general
A030302,A,인문학,철학,동양철학,동양철학사,History of Eastern Philosophy
A030303,A,인문학,철학,동양철학,중국철학,Chinese Philosophy
A030304,A,인문학,철학,동양철학,인도철학,Indian Philosophy
A030305,A,인문학,철학,동양철학,일본사상,Japanese Thoughts
A030306,A,인문학,철학,동양철학,중동철학,Middle Eastern Philosophy
A030307,A,인문학,철학,동양철학,동남아제국철학,Philosophy of Southeast Asian Countries
A030399,A,인문학,철학,동양철학,기타동양철학,Other Eastern Philosophy
A030400,A,인문학,철학,서양철학,,Western Philosophy
A030401,A,인문학,철학,서양철학,서양철학일반,Western Philosophy in general
A030402,A,인문학,철학,서양철학,서양고대철학,Ancient Western philosophy
A030403,A,인문학,철학,서양철학,서양중세철학,Medieval Western philosophy
A030404,A,인문학,철학,서양철학,서양근대영국철학,Modern British philosophy
A030405,A,인문학,철학,서양철학,서양근대독일철학,Modern German philosophy
A030406,A,인문학,철학,서양철학,서양근대프랑스철학,Modern French philosophy
A030407,A,인문학,철학,서양철학,현상학,Phenomenology
A030408,A,인문학,철학,서양철학,해석학,Hermeneutics
A030409,A,인문학,철학,서양철학,구조주의,Structuralism
A030410,A,인문학,철학,서양철학,철학적인간학,Philosophical Anthropology
A030411,A,인문학,철학,서양철학,언어분석철학,Analytic Philosophy / Philosophy of Language
A030412,A,인문학,철학,서양철학,심리철학,Philosophy of Mind
A030413,A,인문학,철학,서양철학,응용윤리학,Applied Ethics
A030499,A,인문학,철학,서양철학,기타서양철학,Other Western Philosophy
A030500,A,인문학,철학,미학/예술학,,Aesthetics / Art
A030501,A,인문학,철학,미학/예술학,미학일반,Aesthetics in general
A030502,A,인문학,철학,미학/예술학,예술철학,Philosophy of Art
A030503,A,인문학,철학,미학/예술학,비평철학및비평론,Philosophy of Criticism and Art Criticism
A030504,A,인문학,철학,미학/예술학,예술학,Art
A030505,A,인문학,철학,미학/예술학,응용미학,Applied Aesthetics
A030506,A,인문학,철학,미학/예술학,예술사론,History of Arts
A030507,A,인문학,철학,미학/예술학,비교미학,Comparative Aesthetics
A030599,A,인문학,철학,미학/예술학,기타미학/예술학,Other Aesthetics / Arts
A039900,A,인문학,철학,기타철학,,Other Philosophy
A040000,A,인문학,종교학,,,Religious Studies
A040100,A,인문학,종교학,종교철학,,Philosophy of Religion
A040200,A,인문학,종교학,종교심리학,,Psychology of Religion
A040300,A,인문학,종교학,종교현상학,,Phenomenology of Religions
A040400,A,인문학,종교학,종교사회학,,Sociology of Religion
A040500,A,인문학,종교학,종교사,,History of Religions
A040600,A,인문학,종교학,신비주의,,Mysticism
A040700,A,인문학,종교학,비교종교학,,Comparative Religious Studies
A040800,A,인문학,종교학,도교,,Taosim
A040900,A,인문학,종교학,유대교,,Judaism
A041000,A,인문학,종교학,이슬람,,Islam
A041100,A,인문학,종교학,무(巫)교,,Shamanism(巫)
A041200,A,인문학,종교학,한국자생종교,,Korean Native Religions 
A041300,A,인문학,종교학,중국종교,,Chinese Religions
A041400,A,인문학,종교학,인도종교,,Indian Religions
A041500,A,인문학,종교학,중동종교,,Middle Eastern Religions
A041600,A,인문학,종교학,서양종교,,Western Religion
A041700,A,인문학,종교학,한국종교,,Korean Religion
A041701,A,인문학,종교학,한국종교,한국종교일반,Korean Religion in general
A041702,A,인문학,종교학,한국종교,원불교학,Won Buddhist Studies
A049900,A,인문학,종교학,기타종교학,,Other Religious Studies 
A050000,A,인문학,기독교신학,,,Christian Theology
A050100,A,인문학,기독교신학,구약학,,Old Testament
A050200,A,인문학,기독교신학,신약학,,New Testament
A050300,A,인문학,기독교신학,교회사,,Church History
A050400,A,인문학,기독교신학,조직신학,,Systematic Theology
A050500,A,인문학,기독교신학,기독교윤리,,Christian Ethics
A050600,A,인문학,기독교신학,기독교교육,,Christian Education
A050700,A,인문학,기독교신학,실천신학,,Practical Theology
A050800,A,인문학,기독교신학,여성신학,,Feminist Theology
A050900,A,인문학,기독교신학,선교신학,,Mission Theology
A051000,A,인문학,기독교신학,교회음악,,Church Music
A051100,A,인문학,기독교신학,목회상담학,,Pastoral Counseling
A051200,A,인문학,기독교신학,문화신학,,Culture Theology
A059900,A,인문학,기독교신학,기타기독교신학,,Other Christian Theology
A060000,A,인문학,가톨릭신학,,,Catholic Theology
A060100,A,인문학,가톨릭신학,기초신학,,Basic Theology
A060200,A,인문학,가톨릭신학,교의신학,,Dogmatic Theology
A060300,A,인문학,가톨릭신학,전례신학,,Liturgical Theology
A060400,A,인문학,가톨릭신학,영성신학,,Spiritual Theology
A060500,A,인문학,가톨릭신학,윤리신학,,Moral Theology
A060600,A,인문학,가톨릭신학,선교신학,,Mission Theology
A060700,A,인문학,가톨릭신학,사목신학,,Pastoral Theology
A060800,A,인문학,가톨릭신학,교회사,,Church History
A060900,A,인문학,가톨릭신학,교부학,,Patrology
A061000,A,인문학,가톨릭신학,성서학(신/구약),,Biblical(New / Old)
A061100,A,인문학,가톨릭신학,교회법,,Church Law
A061200,A,인문학,가톨릭신학,교리교육학,,Doctrine Education
A061300,A,인문학,가톨릭신학,일치신학,,Match Theology
A061400,A,인문학,가톨릭신학,동방교회신학,,Orthodox Theology
A069900,A,인문학,가톨릭신학,기타가톨릭신학,,Other Catholic Theology
A070000,A,인문학,유교학,,,Confucian Studies
A070100,A,인문학,유교학,유교철학,,Confucian Philosophy
A070200,A,인문학,유교학,유교윤리학,,Confucian Ethics
A070300,A,인문학,유교학,유교교육학,,Confucian Pedagogy
A070400,A,인문학,유교학,유교사회학,,Confucian Sociology
A070500,A,인문학,유교학,유교정치학,,Confucian Politics
A079900,A,인문학,유교학,기타유교학,,Other Confucian Studies 
A080000,A,인문학,불교학,,,Buddhist Studies
A080100,A,인문학,불교학,근본불교,,Fundamental Buddhism
A080200,A,인문학,불교학,천태학,,T'ien-t'ai Studies
A080300,A,인문학,불교학,화엄학,,Hua-yen Studies
A080400,A,인문학,불교학,유식학,,Vijnaptimatra Studies
A080500,A,인문학,불교학,정토학,,Pure Land Studies
A080600,A,인문학,불교학,계율학,,Precept Studies
A080700,A,인문학,불교학,중관학,,Madhyamika Studies
A080800,A,인문학,불교학,밀교,,Esoteric Buddhism
A080900,A,인문학,불교학,선학,,Seon Studies
A081000,A,인문학,불교학,불교윤리,,Buddhist Ethics
A081100,A,인문학,불교학,불교교육,,Buddhist Education
A081200,A,인문학,불교학,불교문헌학,,Buddhist Literature Studies
A081300,A,인문학,불교학,지역불교및불교사연구,,Regional Buddhism and Buddhist History Research
A081400,A,인문학,불교학,응용불교학,,Applied Buddhist Studies
A089900,A,인문학,불교학,기타불교학,,Other Buddhist Studies
A090000,A,인문학,언어학,,,Linguistics
A090100,A,인문학,언어학,언어이론,,Linguistic Theory
A090200,A,인문학,언어학,음성학(언어학),,Phonetics(Linguistics)
A090300,A,인문학,언어학,음운론(언어학),,Phonology(Linguistics)
A090400,A,인문학,언어학,형태론(언어학),,Morphology(Linguistics)
A090500,A,인문학,언어학,통사론(언어학),,Syntax(Linguistics)
A090600,A,인문학,언어학,의미론(언어학),,Semantics(Linguistics)
A090700,A,인문학,언어학,화용론(언어학),,Pragmatics(Linguistics)
A090800,A,인문학,언어학,문자,,Character
A090900,A,인문학,언어학,기호학,,Semiotics
A091000,A,인문학,언어학,방언,,Dialect
A091100,A,인문학,언어학,텍스트언어,,Text Linguistics
A091200,A,인문학,언어학,발달사,,History of Language Development
A091300,A,인문학,언어학,코퍼스,,Corpus
A091400,A,인문학,언어학,번역,,Translation
A091500,A,인문학,언어학,역사/비교언어학,,Historical and Comparative Linguistics
A091600,A,인문학,언어학,사회언어학,,Sociolinguistics
A091700,A,인문학,언어학,인지언어학,,Cognitive Linguistics
A091800,A,인문학,언어학,응용언어학,,Applied Linguistics
A091900,A,인문학,언어학,전산언어학,,Computational Linguistics
A092000,A,인문학,언어학,심리언어학,,Psycholinguistics
A092100,A,인문학,언어학,대조언어,,Contrastive Linguistic
A092200,A,인문학,언어학,언어교수법,,Second Language Pedagogy
A092300,A,인문학,언어학,언어교육,,Language Teaching
A092400,A,인문학,언어학,언어인식,,Language Recognition
A092500,A,인문학,언어학,언어습득,,Language Acquisition
A092600,A,인문학,언어학,언어학사,,History of Linguistics
A099900,A,인문학,언어학,기타언어학,,Other Linguistics
A100000,A,인문학,문학,,,Literature
A100100,A,인문학,문학,문학이론,,Literary Theory
A100200,A,인문학,문학,문학사,,History of Literature
A100300,A,인문학,문학,문예창작,,Creative Writing
A100400,A,인문학,문학,작가론,,Author Studies
A100500,A,인문학,문학,비교문학,,Comparative Literature
A100600,A,인문학,문학,문학장르,,Theory of Literary Genre
A100700,A,인문학,문학,문학교육,,Literature Education
A100800,A,인문학,문학,운문,,Poetry
A100900,A,인문학,문학,산문,,Prose Literature
A101000,A,인문학,문학,소설,,Fiction
A101100,A,인문학,문학,평론,,Literary criticism
A101200,A,인문학,문학,희곡,,Drama
A101300,A,인문학,문학,구비문학,,Oral Literature
A101400,A,인문학,문학,아동문학,,Children's Literature
A101500,A,인문학,문학,영상문학,,Literature and Visual Media Art
A101600,A,인문학,문학,번역문학,,Literature translation
A109900,A,인문학,문학,기타문학,,Other Literature
A110000,A,인문학,한국어와문학,,,Korean Language and Literature
A110100,A,인문학,한국어와문학,국어학,,Korean Language Studies
A110101,A,인문학,한국어와문학,국어학,음성학(국어학),Phonetics(Korean)
A110102,A,인문학,한국어와문학,국어학,음운론(국어학),Phonology(Korean) 
A110103,A,인문학,한국어와문학,국어학,형태론(국어학),Morphology(Korean)
A110104,A,인문학,한국어와문학,국어학,통사론(국어학),Syntax(Korean)
A110105,A,인문학,한국어와문학,국어학,어휘론(국어학),Lexis(Korean)
A110106,A,인문학,한국어와문학,국어학,화용론(국어학),Pragmatics(Korean) 
A110107,A,인문학,한국어와문학,국어학,의미론(국어학),Semantics(Korean) 
A110108,A,인문학,한국어와문학,국어학,국어사,History of Korean Language
A110109,A,인문학,한국어와문학,국어학,국어학사,History of Korean Linguistics
A110110,A,인문학,한국어와문학,국어학,문자론(국어학),Graphemics(Korean)
A110111,A,인문학,한국어와문학,국어학,방언학(국어학),Dialectology(Korean)
A110112,A,인문학,한국어와문학,국어학,계통론(국어학),Linguistic Genealogy Theory(Korean)
A110113,A,인문학,한국어와문학,국어학,국어정책론,Korean Language Policy
A110114,A,인문학,한국어와문학,국어학,국어사전학,Lexicology(Korean)
A110115,A,인문학,한국어와문학,국어학,응용국어학,Applied linguistics(Korean) 
A110116,A,인문학,한국어와문학,국어학,국어정보학,Language information(Korean) 
A110199,A,인문학,한국어와문학,국어학,기타국어학,Other Korean Language Studies
A110200,A,인문학,한국어와문학,국문학,,Korean Literature
A110201,A,인문학,한국어와문학,국문학,국문학사,History of Korean Literature
A110202,A,인문학,한국어와문학,국문학,고전산문,Korean classic prose
A110203,A,인문학,한국어와문학,국문학,고전시가,Korean classic poetry
A110204,A,인문학,한국어와문학,국문학,고전비평,Korean classic critique
A110205,A,인문학,한국어와문학,국문학,구비문학(국문학),Oral literature(Korean)
A110206,A,인문학,한국어와문학,국문학,현대소설(국문학),Contemporary novel (Korean)
A110207,A,인문학,한국어와문학,국문학,현대시(국문학),Contemporary poetry (Korean)
A110208,A,인문학,한국어와문학,국문학,현대희곡(국문학),Contemporary drama (Korean)
A110209,A,인문학,한국어와문학,국문학,비교문학(국문학),Comparative literature (Korean)
